ID,createdate,closedate,contract_signed_at,spin_at,proposal_at,mrr,lost_reason,prob,country,drs,stage,paid_at,deals,spins,proposal,contract_signed,won,lost,size,no_show,lost_after_spin,paid_clinics,month_created,month_spin,month_proposal,month_contract,month_paid,month_closed,MRR number value,Drs - number value,True size
8727502090,2022-04-26,2022-05-09,,2022-04-27,2022-04-27,1.371,Abandoned,3,Brazil,8,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,1.371,8,medium (6-10)
8730801945,2022-04-27,2022-05-20,,2022-05-09,2022-05-09,303,Price too high,1,Spain,6,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2022-04-01,2022-05-01,2022-05-01,,,2022-05-01,303,6,medium (6-10)
8735759773,2022-04-27,2022-04-27,,2022-04-27,,1.135,Sponsor Failed,2,Brazil,4,Closed lost [set-lost],,1,1,0,0,0,1,small (2-5),0,1,0,2022-04-01,2022-04-01,,,,2022-04-01,1.135,4,small (2-5)
8735916607,2022-04-27,2022-06-15,,2022-05-05,2022-05-05,216,Postponed,2,Spain,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-05-01,2022-05-01,,,2022-06-01,216,3,small (2-5)
8737605276,2022-04-27,2022-06-20,,2022-04-29,2022-04-29,1.334,Internal Development,1,Brazil,5,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-06-01,1.334,5,small (2-5)
8739943742,2022-04-27,2022-05-11,2022-05-10,2022-04-29,2022-04-30,1.135,,2,Brazil,4,Closed won,2022-05-10,1,1,1,1,1,0,small (2-5),0,0,1,2022-04-01,2022-04-01,2022-04-01,2022-05-01,2022-05-01,2022-05-01,1.135,4,small (2-5)
8744094531,2022-04-28,2022-05-24,,2022-05-06,2022-05-06,216,Postponed,1,Spain,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-05-01,2022-05-01,,,2022-05-01,216,3,small (2-5)
8744528771,2022-04-28,2022-06-08,,2022-05-23,2022-05-23,129,Price too high,1,Italy,1,Closed lost [set-lost],,1,1,1,0,0,1,,0,0,0,2022-04-01,2022-05-01,2022-05-01,,,2022-06-01,129,1,small (2-5)
8746010485,2022-04-28,2022-05-06,,2022-05-02,2022-05-04,273,Postponed,3,Italy,6,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2022-04-01,2022-05-01,2022-05-01,,,2022-05-01,273,6,medium (6-10)
8746751064,2022-04-28,2022-05-11,,,,,Abandoned,,Spain,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-05-01,,,
8748310572,2022-04-28,2022-05-10,,2022-04-28,2022-04-28,303,Doesn't want to manage 2 calendars (Clinic Agenda),1,Spain,6,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,303,6,medium (6-10)
8352147215,2022-03-25,2022-03-30,,2022-03-29,,390,No Product Fit,,Spain,9,Closed lost [set-lost],,1,1,0,0,0,1,medium (6-10),0,1,0,2022-03-01,2022-03-01,,,,2022-03-01,390,9,medium (6-10)
8353763223,2022-03-25,2022-04-28,,2022-03-29,,1.135,[CA] Fit for another Doctoralia product,2,Brazil,4,Closed lost [set-lost],,1,1,0,0,0,1,small (2-5),0,1,0,2022-03-01,2022-03-01,,,,2022-04-01,1.135,4,small (2-5)
8374299570,2022-03-28,2022-05-12,,2022-05-05,,629,Internal Development,,Italy,20,Closed lost [set-lost],,1,1,0,0,0,1,big (16-20),0,1,0,2022-03-01,2022-05-01,,,,2022-05-01,629,20,big (16-20)
8374330224,2022-03-28,2022-04-29,2022-04-28,2022-04-11,2022-04-11,274,,2,Spain,5,Closed won,,1,1,1,1,1,0,small (2-5),0,0,0,2022-03-01,2022-04-01,2022-04-01,2022-04-01,,2022-04-01,274,5,small (2-5)
8378862171,2022-03-28,2022-04-20,2022-04-07,2022-03-29,2022-03-29,5.696,,3,Mexico,4,Closed won,,1,1,1,1,1,0,small (2-5),0,0,0,2022-03-01,2022-03-01,2022-03-01,2022-04-01,,2022-04-01,5.696,4,small (2-5)
8384613241,2022-03-29,2022-04-19,,,,,Abandoned,,Spain,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-03-01,,,,,2022-04-01,,,
8384712099,2022-03-29,2022-05-13,,2022-03-30,2022-03-31,790,Postponed,2,Italy,41,Closed lost [set-lost],,1,1,1,0,0,1,extra (>25),0,0,0,2022-03-01,2022-03-01,2022-03-01,,,2022-05-01,790,41,extra (>25)
8384727068,2022-03-29,2022-05-13,,2022-04-05,2022-04-05,344,Insufficient Funds,1,Spain,5,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-03-01,2022-04-01,2022-04-01,,,2022-05-01,344,5,small (2-5)
